COMMON_NAME,term,disturb,m,upper,lower,sig,pd
lodgepole pine,psi,fire,0.00578267852834079,0.00651794493684017,0.00508519715185972,1,1
lodgepole pine,rd,,-2.65390054631712,-2.58814265256535,-2.7183255489768,1,1
lodgepole pine,sens,bugs,-0.00484975606911889,-0.00439883489993661,-0.00532714657885226,1,1
lodgepole pine,sens,disease,0.000719347301199341,0.000927351653605528,0.000524092432405246,1,1
lodgepole pine,sens,fire,-0.00137233700010256,-0.00116600936480625,-0.00159601259687807,1,1
ponderosa pine,alpha,,0.00198924611240276,0.0022321390223965,0.00175501172907644,1,1
ponderosa pine,beta,bugs,-0.00149134712039751,-0.000773491422732962,-0.00225063051381775,1,1
ponderosa pine,beta,disease,-0.000408864009713747,0.000211974838282003,-0.00101359054986889,0,0.8986
ponderosa pine,beta,fire,-0.00819006904897437,-0.00747474012790536,-0.00889129393788715,1,1
ponderosa pine,psi,bugs,0.00958829900999516,0.0103390351970023,0.00888608136115691,1,1
ponderosa pine,psi,disease,0.0139092954163833,0.0148466994005201,0.0130120711909729,1,1
ponderosa pine,psi,fire,0.0103185671676172,0.0111385730256052,0.00954481792843318,1,1
ponderosa pine,rd,,-2.89246902825543,-2.84109296238756,-2.94345740787361,1,1
ponderosa pine,sens,bugs,-0.00025768564968162,-0.000133758684942877,-0.000393213386806341,1,1
ponderosa pine,sens,disease,-0.000102743221207293,5.35820290377207e-05,-0.000257604346497809,0,0.8986
ponderosa pine,sens,fire,-0.00152377473768583,-0.00134299954520786,-0.00172713713248848,1,1
quaking aspen,alpha,,-0.000935321921071179,-0.000441378444590946,-0.0014261814928813,1,1
quaking aspen,beta,bugs,-0.0003921550853798,0.00073745723728199,-0.00145046691498315,0,0.7536
quaking aspen,beta,disease,-0.00401686252969155,-0.00291017005877214,-0.00509117036965124,1,1
quaking aspen,beta,fire,-0.00577558977258775,-0.00363488567802369,-0.00789852459571287,1,1
quaking aspen,psi,bugs,0.017715476050743,0.0197817397079048,0.0158355567987526,1,1
quaking aspen,psi,disease,0.0169879633868585,0.0190194535214785,0.0151128434408866,1,1
quaking aspen,psi,fire,0.00383548863530588,0.00483996289971068,0.00296004377046727,1,1
quaking aspen,rd,,-2.83014184170543,-2.72755188557098,-2.92945092939225,1,1
quaking aspen,sens,bugs,-0.000117850907282101,0.000225297480536271,-0.000445835137845488,0,0.7536
quaking aspen,sens,disease,-0.00115059871512537,-0.000815970676282006,-0.00153363590174606,1,1
quaking aspen,sens,fire,-0.000371508421249613,-0.000221534661658999,-0.000570413737021421,1,1
subalpine fir,alpha,,0.000859067846595574,0.00123982587962218,0.000472261284244171,1,1
subalpine fir,beta,bugs,-0.00170253862339865,-0.000988237881332422,-0.00240771227048057,1,1
subalpine fir,beta,disease,-0.000713820614297269,0.000145979380232373,-0.00156880971261906,0,0.9486
subalpine fir,beta,fire,-0.0165470195820266,-0.0154006449923809,-0.0177032643982847,1,1
subalpine fir,psi,bugs,0.0244322037371587,0.02613281428965,0.0227656937241881,1,1
subalpine fir,psi,disease,0.0143251743728478,0.0156624105331807,0.0130270286723874,1,1
subalpine fir,psi,fire,0.00762565890997758,0.00855756040949599,0.00670433137902372,1,1
subalpine fir,rd,,-2.98303068777651,-2.90808829164439,-3.0593079607319,1,1
subalpine fir,sens,bugs,-0.000819626057904358,-0.000470122583778352,-0.0011748939058322,1,1
subalpine fir,sens,disease,-0.000201623521260835,4.13656749228472e-05,-0.000450571246498135,0,0.9486
subalpine fir,sens,fire,-0.00248995203030478,-0.00211977355376457,-0.0029064118078555,1,1
Utah juniper,alpha,,0.00102086972781829,0.00129881821653595,0.000721840070233334,1,1
Utah juniper,beta,bugs,-0.000917602498187735,0.000869357491482045,-0.00273485255466185,0,0.834
