YEAR,ECOSUBCD,SPCD,COMMON_NAME,SCIENTIFIC_NAME,FSI,PERC_FSI,FSI_STATUS,FSI_INT,PERC_FSI_INT,PREV_RD,CURR_RD,TPA_RATE,BA_RATE,FSI_VAR,PERC_FSI_VAR,PREV_RD_VAR,CURR_RD_VAR,TPA_RATE_VAR,BA_RATE_VAR,nPlots,N
2018,313As,106,common or two-needle pinyon,Pinus edulis,0.00016195037142011,0.0635039183894677,Stable,0.000176992104281224,0.0685027189330113,0.255024218233075,0.256614572991814,0.018498309237822,-0.00380204440623549,2.54083321217354e-06,0.380613327139167,0.00461247441153728,0.00592703885882452,0.000183240936214817,5.14511701090054e-05,4,314
2018,313As,122,ponderosa pine,Pinus ponderosa,-0.00114121987967806,-0.600204569720595,Decline,0.000168086758363671,0.0894742281375712,0.190138485651536,0.178959353715795,0.00771266657970199,-0.0060284692470331,4.58628971483441e-06,1.29954224913412,0.00217796396993615,0.00268707056846949,0.000256829184592534,0.000130823823942173,16,626
2018,313As,202,Douglas-fir,Pseudotsuga menziesii,-0.000206747312715211,-0.205723103652791,Decline,6.56509768253016e-05,0.0657622843506732,0.100497858064667,0.0985483602777675,-0.0223404452246162,0.00240638163492619,6.99643601838711e-07,0.702018025451946,0.000399850789989206,0.000505535563371715,0.000337435849550708,2.49443959772791e-05,15,626
2018,313As,746,quaking aspen,Populus tremuloides,-0.00110439736003527,-0.878712613541616,Decline,9.34193246262418e-05,0.0667516129734989,0.125683567416205,0.114681707762031,0.00543741012448762,-0.0193227626407912,1.41666749298039e-06,0.723299243587051,0.000554120804680692,0.000335159643918443,0.000726209933623878,6.20836993458499e-05,17,626
2018,313As,814,Gambel oak,Quercus gambelii,0.000420708044478808,2.43772037739362,Expand,1.73612666518467e-05,0.192941554138862,0.0172582568690107,0.0214450635093566,-0.00496922615278271,0.0268574824634165,1.78563161777589e-08,2.20536560601077,0.000130585738339212,0.000144189310094427,0.00168296237633414,1.51635709709156e-05,3,230
2018,313At,65,Utah juniper,Juniperus osteosperma,0.000698462144445188,0.376036563463127,Expand,7.53251057897052e-05,0.0401882628166085,0.185743146361265,0.192935892791003,0.000147860430964449,-0.000611464632274861,5.81316995628078e-07,0.165474846629107,0.00101364635405382,0.0011449168462365,8.39048217189946e-05,7.79674263359674e-05,19,396
2018,313At,69,oneseed juniper,Juniperus monosperma,0.000765157504334362,Inf,Expand,0,,0,0.00818718529637767,Inf,Inf,0,,0,-3.29263913424086e-20,,,1,19
2018,313At,106,common or two-needle pinyon,Pinus edulis,-5.59917000014721e-05,-0.159610571021298,Decline,4.89259351623504e-05,0.142554255789272,0.035080195279798,0.0346402506707452,-0.00115317369238872,-0.00585392953886876,1.29347223367809e-07,1.09809322958222,0.000126825027956721,0.000175672376072388,1.43516499922411e-05,0.000113973813213564,7,210
2018,313At,133,singleleaf pinyon,Pinus monophylla,0.000577175235011672,0.635126424670134,Expand,0.000230114784253852,0.242012295707027,0.0908756450042904,0.0968601255077803,-0.0171153488960623,0.00669087495593413,1.00031017468941e-06,1.10642124259627,0.000612936125794314,0.000901721072320635,0.000203081996917858,8.22533607177153e-05,7,75
2018,313At,143,Arizona pinyon pine,Pinus monophylla,0.00332255941011578,Inf,Expand,0,,0,0.0342223619241925,Inf,Inf,0,,0,4.81929412743896e-19,,,1,23
