YEAR,ECODIV,SPCD,COMMON_NAME,SCIENTIFIC_NAME,FSI,PERC_FSI,FSI_STATUS,FSI_INT,PERC_FSI_INT,PREV_RD,CURR_RD,TPA_RATE,BA_RATE,FSI_VAR,PERC_FSI_VAR,PREV_RD_VAR,CURR_RD_VAR,TPA_RATE_VAR,BA_RATE_VAR,nPlots,N
2018,M24,661,Oregon crab apple,Malus fusca,0.00185917312461548,5.34352263702255,Expand,6.4123560884702e-05,0.211893752759935,0.0347930242071815,0.0535728209537098,0.042751631099351,0.0428866511967588,2.8533825475026e-07,3.1157388033339,0.000225715522154765,0.000360631751361105,0.000495635672651398,0.000625037642536123,20,269
2018,M24,746,quaking aspen,Populus tremuloides,-0.000104249164830658,-0.173219549723124,Decline,4.52504302339762e-05,0.0731925007097795,0.0601832558722677,0.0590659583687287,0.0711206722529871,-0.00917428877744996,1.54351937242975e-07,0.403831163537031,0.000242903367682102,0.000206983296919945,0.0021641271736049,6.49500582736056e-05,31,292
2018,M24,747,black cottonwood,Populus balsamifera,0.00226794554129081,5.64074680621806,Expand,0.000273031714404135,0.710422842049144,0.0402064765394318,0.0626557360326795,0.0642459170547009,0.00904749309134354,9.77228929454706e-06,66.1612887920206,3.54408824354951e-05,0.000814962016362963,0.0121552843789669,0.00031843078546899,106,506
2018,M24,760,cherry and plum spp.,Prunus spp.,-0.00102540717702473,-10.2940237146032,Decline,7.99187774583534e-05,0.0147816631462339,0.00996118918562504,0,-0.103285301561072,-0.102906501180413,9.57098736387183e-08,0.0032742035990101,9.1640407610572e-06,0,2.77457221229429e-07,3.30834371270216e-07,4,60
2018,M24,763,chokecherry,Prunus virginiana,0.000175179259588596,2.01724817608408,Expand,3.5606918384814e-05,0.471538065024215,0.00868407078838744,0.0103119637675926,0.0792391742332162,0.0782954865467122,8.40213501853697e-08,14.7351442583948,1.26548239389089e-05,9.93948520258648e-06,0.00805265197754946,0.00465261102202106,17,257
2018,M24,768,bitter cherry,Prunus emarginata,0.00168949058745324,10.4418318066427,Expand,4.309793633752e-05,0.378472200562407,0.0161800210800029,0.0329523131646607,0.0858978596457195,0.108561852789772,1.89336315431408e-07,14.6012131660834,6.65146487256914e-06,1.3816028752168e-05,0.00194911311894875,0.000708063816514384,168,394
2018,M24,771,"sweet cherry, domesticated",Prunus avium,0.000732771838578153,Inf,Expand,3.3583009635745e-05,,0,0.00726475440640707,Inf,Inf,1.22014843667962e-08,,0,1.33875347967907e-06,,,3,44
2018,M24,805,canyon live oak,Quercus chrysolepis,-0.00137318503840586,-1.63083623282374,Decline,0.000165798285855741,0.214139004123722,0.0842012834132481,0.0706541992377318,0.00198614525614654,-0.0558698347014107,6.91046553480475e-07,1.15275971289374,0.000497565654113255,0.000573201018828031,0.000231076681325563,0.000342977842289649,19,99
2018,M24,815,Oregon white oak,Quercus garryana,0.00093096571339808,0.653865441835244,Expand,5.5468210498239e-05,0.0366273314558818,0.142378791389415,0.151965804320022,-0.00168683742212402,0.00824910413133489,3.39253747325772e-07,0.147926812973369,0.000233655274063202,0.000342978792465109,4.95495931586136e-05,2.00035215050088e-05,65,426
2018,M24,818,California black oak,Quercus kelloggii,6.49447665717264e-05,0.312325830051731,Stable,0.000104396720458637,0.512539111327645,0.0207939146630842,0.021668953580354,-0.000962081661084976,-0.0674886239344084,3.19378721490309e-07,7.69814858659517,5.30571821996209e-05,4.46208828948941e-05,1.72123893746354e-05,0.000450449781911535,11,115
