YEAR,spSC,SPCD,COMMON_NAME,SCIENTIFIC_NAME,FSI,PERC_FSI,FSI_STATUS,FSI_INT,PERC_FSI_INT,PREV_RD,CURR_RD,TPA_RATE,BA_RATE,FSI_VAR,PERC_FSI_VAR,PREV_RD_VAR,CURR_RD_VAR,TPA_RATE_VAR,BA_RATE_VAR,nPlots,N
2018,0.25,62,California juniper,Juniperus californica,-3.86274142687213e-05,-0.337243019879217,Decline,3.57216104676374e-05,0.306147359670565,0.0114538810269685,0.0113081691461646,0.017236192115593,-0.00755785361604991,8.86100858478148e-07,65.0851834364289,3.91843634486244e-05,2.78089373864326e-05,0.00624367703232541,0.00460595880860066,46,2670
2018,0.25,63,alligator juniper,Juniperus deppeana,0.000122877015838527,1.38340093882311,Expand,2.9263302232881e-06,0.0340464247679689,0.00888224175581818,0.00963838140692538,0.0108430777792892,0.0121766657226483,5.87302294050785e-09,0.794983395964957,2.41339618164457e-07,3.03536041591996e-07,7.72482757453666e-05,7.91505383648007e-05,303,2637
2018,0.25,64,western juniper,Juniperus occidentalis,3.6088017252067e-06,0.0400017298100514,Stable,6.53637970430583e-06,0.0725359973933139,0.00902161417104491,0.00917966705103562,-0.00326626589800303,-0.00391067739133734,1.73788190557531e-08,2.14019275749199,1.24376325307424e-06,1.98775141845429e-06,0.000175872385999746,0.000178149085460252,527,1565
2018,0.25,65,Utah juniper,Juniperus osteosperma,5.38567861677034e-05,0.327540203808341,Expand,6.60974433241975e-07,0.00407931978227062,0.0164428016901453,0.0169251507797112,0.00259901128444715,0.00226233965219682,8.30859883435195e-10,0.0316471037656245,1.20502234784173e-07,1.24583920052544e-07,3.09934964261717e-06,3.15676729992242e-06,2180,7308
2018,0.25,66,Rocky Mountain juniper,Juniperus scopulorum,0.000110867660656456,1.50322503338969,Expand,1.43415319563933e-06,0.0206934550231582,0.00737532027433416,0.00816683403464695,0.0180563571394154,0.0173725406170645,2.99384547963193e-09,0.623310304204673,2.05473198311428e-07,1.9512506776243e-07,6.07906822186003e-05,6.23806481320243e-05,505,5594
2018,0.25,69,oneseed juniper,Juniperus monosperma,7.82573505819151e-05,0.553487068150338,Expand,3.38058277330921e-06,0.0243155790173527,0.0141389663977946,0.0147579249674931,0.00173926930137984,0.000411539383691163,9.81327242429069e-09,0.50769155418012,4.03434647966864e-07,4.0753017292926e-07,5.20378120656615e-05,5.1029049493162e-05,595,3301
2018,0.25,72,subalpine larch,Larix lyallii,-7.87269158375232e-05,-1.05133292747054,Decline,3.33708096161567e-05,0.408749997413294,0.00748829545622023,0.00650680977169905,-0.0106516894826437,-0.0179695521349742,6.71320289290327e-08,10.0719094418882,7.04343747377323e-06,3.03668150571993e-06,0.000877924359819765,0.000796417629838164,21,234
2018,0.25,73,western larch,Larix occidentalis,3.1280928650749e-06,0.0260156147156252,Stable,3.32987856679087e-06,0.0277242470387084,0.0120239052556238,0.0120434877407267,-0.000772916671268767,-0.00165737642895006,5.24342240101005e-09,0.363477534086464,4.80726952130855e-07,5.63530567816572e-07,3.78875314757172e-05,3.72857406642143e-05,518,1819
2018,0.25,81,incense-cedar,Calocedrus decurrens,1.83885534023562e-05,0.157812890889852,Expand,7.31417691024289e-06,0.0635061724630709,0.011652123789552,0.0118292312966852,0.00142070734692845,0.00081885310094486,4.46443386379483e-09,0.336563758980759,6.47242178882354e-07,4.34972183668306e-07,3.2223056104291e-05,3.3122881480937e-05,479,323
2018,0.25,92,Brewer spruce,Picea breweriana,-0.000373867091731311,-4.43281936725667,Decline,8.07796320444722e-05,0.792323519934482,0.00843407007497094,0.00472555986366801,-0.0269501760793106,-0.047751110073093,7.90921624072912e-08,7.60912650249071,5.62800835316113e-06,5.19422147810991e-06,0.00175661373034999,0.000730984628331752,5,49
2018,0.25,93,Engelmann spruce,Picea engelmannii,-0.000125449740290545,-0.988586126490268,Decline,7.98177480205872e-07,0.00603647192753165,0.0126898139604613,0.0115311987701028,-0.00992828915150728,-0.00936114451949147,1.26532865036665e-09,0.0723720328183243,1.3486452943818e-07,1.45437649999765e-07,7.08057941062671e-06,7.11854096000011e-06,1664,7632
2018,0.25,96,blue spruce,Picea pungens,9.5684458908385e-05,0.944140286292093,Expand,1.10623025955311e-05,0.112601174159114,0.0101345594820622,0.0121920944899119,0.00985520434549124,0.00922910135199943,3.63664291055514e-08,3.7678658290521,1.04568158402772e-05,1.09643603533186e-05,0.000370023880128102,0.000354836695168339,67,1144
2018,0.25,98,Sitka spruce,Picea sitchensis,9.72281134374516e-05,0.83919577773161,Expand,1.57700175051597e-05,0.147506607145923,0.0115858678055154,0.0125750418841969,0.0101849181628675,0.00892562684935587,2.68394421154484e-08,2.34818376481842,5.16439011100054e-06,2.64176386590403e-06,0.00029025338874062,0.000208366266471825,83,417
2018,0.25,101,whitebark pine,Pinus albicaulis,-0.000207143465671009,-1.83124772505832,Decline,3.02551185331543e-06,0.0243049284461656,0.0113116026213445,0.00924539132220725,-0.0175210511589334,-0.0175318840283561,5.76794058565191e-09,0.372230327450353,8.40175553741388e-07,7.01267345645769e-07,3.9128386803604e-05,3.89534317589397e-05,296,2423
2018,0.25,102,Rocky Mountain bristlecone pine,Pinus aristata,6.34149343259832e-05,0.693814116611776,Expand,1.72318100598977e-05,0.191629542761832,0.00914004670813971,0.00995313832612222,0.00715571359412195,0.00657913351880773,2.13786448095434e-08,2.64388950404801,1.48245283629681e-06,2.3718296745845e-06,0.000266446801154522,0.000282146630300766,40,279
2018,0.25,103,knobcone pine,Pinus attenuata,-0.00051747738528064,-5.80926898428928,Decline,2.12054132510069e-05,0.185038144413001,0.00890778834101361,0.00384553501763689,-0.0498835896015419,-0.0642265502328828,3.03851619231922e-08,2.31361240119868,1.03169197297583e-06,1.30852442763905e-06,0.000255397109985261,0.000189572612549389,28,262
2018,0.25,104,foxtail pine,Pinus balfouriana,0.00113364805988879,1.27214722630001,Expand,0.000217171426156653,0.284761295118176,0.0891129608627106,0.10052100062849,0.0140205460528458,0.0046130589319938,1.12424616293928e-06,1.9329381878721,0.000367244032161652,0.000206429207256931,0.000289681627777396,0.000121520461927948,8,94
