grps,n,int,rate,upper_int,upper_rate,lower_int,lower_rate,fe_int,fe_rate,upper_fe_int,upper_fe_rate,lower_fe_int,lower_fe_rate
261,529,378.281813816765,-0.839369129910053,388.892476626864,-0.807635061116938,366.01391051418,-0.868837237845541,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
262,151,496.894150841073,-0.856517569524299,529.269200394518,-0.793497033564965,463.06393950073,-0.936546418315585,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
263,64,504.707914479927,-0.816854600527103,625.351070215786,-0.617743035578254,450.508529219702,-0.942696098413395,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
264,333,443.102526635395,-0.901903576579565,459.072887286978,-0.86679979587983,430.315847264114,-0.926997996336663,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
265,491,342.127403254697,-0.882837050859935,365.725531096378,-0.799860863107362,307.267426217694,-0.9929225574644,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
266,871,330.292855160096,-0.846587006925547,344.733453413536,-0.81582055488936,316.214941678414,-0.875580399625578,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
267,667,343.750062403504,-0.83106207061271,353.131109039939,-0.807431325116205,331.913244773522,-0.854663091076626,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
268,555,351.029185787286,-0.775000059101981,367.582169613133,-0.739601531303137,335.963008895546,-0.803858590960224,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
269,40,236.532318872558,-0.954513078211717,302.882890889664,-0.806974024639999,180.704165986687,-1.13225708784753,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
270,277,403.80106163778,-0.881039543804957,459.657816818375,-0.77661678377225,376.141999369958,-0.940302079931021,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
271,16,465.288840008456,-0.789003669531505,557.262862250557,-0.623903977408316,415.313883328172,-0.985124711358072,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
281,1573,321.413243972495,-0.872117687513644,343.194129320738,-0.835458592871709,305.419769892453,-0.899279807418057,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
301,603,430.860840377965,-0.900317964568471,446.085334192714,-0.860267346048807,421.407468194124,-0.929598057424391,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
304,208,449.651159050891,-0.735884217785839,468.040574227065,-0.707117724567048,436.079695659387,-0.773027341161382,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
305,34,407.647406450024,-0.777535815876309,463.802010597817,-0.630018886756376,373.782541100702,-0.980363596816399,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
321,273,291.321020737949,-0.889113765040886,320.723361016913,-0.837971505243964,265.821017114648,-0.949588488024318,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
341,72,606.507950345926,-0.628227190866817,646.138853998842,-0.539447906825471,572.765284290146,-0.730062907183083,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
361,6,194.599349070698,-0.734071767365618,366.913352779765,-0.523633272895884,99.0962981087921,-0.946547441814697,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
362,4,268.177122600417,-0.819439635525495,446.533160070867,-0.58366675287939,175.656836656283,-1.05172747428047,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
