YEAR,SPCD,COMMON_NAME,SCIENTIFIC_NAME,FSI,PERC_FSI,FSI_STATUS,FSI_INT,PERC_FSI_INT,PREV_RD,CURR_RD,TPA_RATE,BA_RATE,FSI_VAR,PERC_FSI_VAR,PREV_RD_VAR,CURR_RD_VAR,TPA_RATE_VAR,BA_RATE_VAR,nPlots,N
2018,542,Oregon ash,Fraxinus latifolia,0.00193428183355297,2.57364703213583,Expand,7.20919549631301e-05,0.11483179462911,0.0751572305526193,0.0943643447323443,0.00642781704071196,0.0111215672569938,1.01954330608484e-06,2.58676142839489,0.000614598215879572,0.000693781165583142,0.000633498095156977,8.65767479039066e-05,72,756
2018,544,green ash,Fraxinus pennsylvanica,0.000911176679565188,1.20573792757402,Expand,9.61314144528143e-05,0.141166110339782,0.0755700437655223,0.0844831038157105,-0.00621050336221491,0.0265089158681099,8.77048330585429e-07,1.89127097762402,0.000787937964369438,0.000800031636405881,0.000280479452408141,0.000459718323442667,13,367
2018,547,velvet ash,Fraxinus velutina,-0.000372703234430318,-2.58296373380997,Decline,8.63264686295215e-05,0.555628275503153,0.0144292863872528,0.0143765952431409,-0.00182425812212098,-0.0578669677757347,7.61581884899945e-07,31.549852366174,1.83094220521359e-05,2.15997182190336e-05,0.00250532250664026,0.00493728640345698,14,395
2018,552,honeylocust,Gleditsia triacanthos,0,,Stable,,,0,0,-0.0980392156862745,-0.0980392156862745,0,,0,0,0,0,1,1
2018,600,walnut spp.,Juglans spp.,-0.000987164699476082,-10.3092783505155,Decline,0,0,0.009575497584918,0,-0.103092783505155,-0.103092783505155,0,0,6.67153295260009e-20,0,7.55980117240313e-18,-1.33789232152697e-17,1,8
2018,603,northern California black walnut,Juglans hindsii,-0.00925205889328591,-3.18810713932802,Decline,0.00115625224175434,0.0379559640254215,0.290205394265264,0.198402557076529,-0.0533977759588457,0.000503336832437038,5.20550987141304e-05,0.0560942249184564,0.0419218400818493,0.0178288916601062,5.35591645581029e-06,1.81913995305356e-06,2,152
2018,606,Arizona walnut,Juglans major,0.00050446653353081,2.64972425160035,Expand,3.28101923493938e-05,0.199311068543303,0.0190384540287967,0.0242964901929896,0.0331620329191884,0.0496062836718746,1.43922063356089e-07,5.31095545433985,7.02873368556128e-05,8.7002103035932e-05,0.000295701246047094,0.00182302922385182,12,516
2018,631,tanoak,Lithocarpus densiflorus,0.00161139370504319,0.704997025064914,Expand,4.43524017457451e-05,0.0196925115411861,0.228567447486012,0.244078890430544,0.00693643942875686,0.0100561785005416,1.04758797962108e-07,0.0206518251275983,6.34129497861903e-05,7.35662982860613e-05,6.261739151848e-06,4.82434300429131e-06,627,207
2018,661,Oregon crab apple,Malus fusca,0.00202125000319384,7.66115592656921,Expand,8.40568335881305e-05,0.4095379488903,0.0263830944385829,0.0471388917781323,0.0700020137994883,0.0884602409729382,4.68238295594694e-07,11.1149926455307,0.0001301758466459,0.00023925538636842,0.00137853365079946,0.00906407933834463,29,257
2018,730,California sycamore,Platanus racemosa,0.000194048794666143,0.967350963146999,Expand,8.99406574547978e-05,0.475800111605288,0.0200598130418831,0.0218346031967135,-0.0537873215720679,-0.0454109168028745,1.02261711424331e-07,2.86187077727685,3.15942674048539e-05,3.11199749213573e-05,0.000801030851620155,0.000136681086350686,14,51
2018,732,Arizona sycamore,Platanus wrightii,-0.0015338987278542,-2.15912209329357,Decline,0.000398797861404918,0.385444379182814,0.0710427044685719,0.0556806855050403,-0.0455808855571805,-0.018792886381325,4.37073127055019e-06,4.08292965545599,0.00139300507369053,0.000476478194716043,0.000877674916299434,0.000524422210692707,5,108
2018,742,eastern cottonwood,Populus deltoides,-0.00315854622860294,-5.71976774491945,Decline,0.00113034409759871,1.27724504558001,0.0552215818799373,0.0235709931418961,-0.00922552490263289,-0.0348140354803635,1.84807362086251e-05,23.5964342379549,0.000799713557585371,0.000214998941951235,0.000531923361880708,0.00807404543692596,3,58
2018,745,plains cottonwood,Populus deltoides,0.00129501908685102,0.98628097394471,Expand,0.000209302161724187,0.184475096361984,0.131303261551471,0.146000135378767,0.0689597871719002,-0.00202314409029648,5.09269714577484e-06,3.9561788258292,0.00194762910197891,0.000905371813840613,0.00655979236836163,0.000365863855254986,19,449
2018,746,quaking aspen,Populus tremuloides,-0.00191825078028462,-1.08541705895166,Decline,4.81761123052684e-06,0.00257968388295125,0.176729374618208,0.156837305404955,0.00328219125047087,-0.0134828471985239,6.03430912569728e-08,0.0173020289359608,2.98024382826908e-05,2.50634831542773e-05,1.16527210714896e-05,1.19514054308021e-06,1750,9990
2018,747,black cottonwood,Populus balsamifera,0.0010597911657852,2.23447295722395,Expand,2.14863179927374e-05,0.0451892638500447,0.047429133673735,0.0578886192403449,0.0161669395350109,0.0147060085111942,1.80217545142819e-07,0.797156524313641,2.66095090975407e-05,4.96653816902742e-05,0.000363211110448909,0.00010173141700653,246,1502
2018,748,Fremont cottonwood,Populus fremontii,-0.00682831184626923,-5.05159204410916,Decline,0.000136204922619609,0.0617486510088672,0.135171482309858,0.074118059820698,-0.0484725472528512,-0.0269715269039278,9.14959977458222e-06,1.88049177499391,0.000989585600590526,0.00025311687918821,0.000542063704264612,0.000475209913632741,29,1897
2018,749,narrowleaf cottonwood,Populus angustifolia,0.000336627643890408,0.380034435190064,Expand,4.99637178761313e-05,0.0588594742939709,0.0885781952159289,0.0917265011718385,0.0100371032355739,-0.0193112633201595,5.39751469066788e-07,0.749060844594581,0.000480344194343496,0.00042592141452063,0.00147045472247023,0.000120255742770683,52,833
2018,756,honey mesquite ,Prosopis glandulosa,-0.000793044828135487,-1.91304211553396,Decline,1.33102197578695e-05,0.0288220845160482,0.0414546455457482,0.0339900104274653,-0.0605427742620014,-0.00312102466835575,1.92801633945397e-07,0.904047049066509,2.85709285873849e-05,1.96161003998175e-05,0.000136242131614407,0.000102595811325625,227,4183
2018,757,velvet mesquite,Prosopis velutina,0.000947008741902324,1.17265807505572,Expand,1.33457770772346e-05,0.0170877590198923,0.0807574485731765,0.0916585417425866,-0.0110510134847741,0.011925264052744,1.12879585013095e-07,0.185053751205402,2.53068028516899e-05,3.11380410660924e-05,3.71175594724541e-05,2.16901127044849e-05,290,2437
